Cota;Afluencia;Defluencia;VazaoNatural;VazaoIncremental;VolumeUtil
734,98;8;8;6,6;4,6;77,39
734,95;5,2;14;6,4;7,6;76,98
734,94;10,99;14;7,6;7,6;76,85
734,93;10,99;14;10,4;7,6;76,71
735,01;37,73;14;12,4;10,6;78,48
734,98;5,09;14;12;18,6;78,2
734,98;14;14;17,2;17,6;77,93
734,96;8,1;14;19,2;5,6;76,71
735,03;34,83;14;18,4;33,6;78,07
735,06;22,91;14;17,8;20,6;78,48
735,07;17,01;14;18,4;14,6;78,61
735,08;16,89;14;12,2;14,6;78,75
735,07;11,11;14;9,8;8,6;78,61
735,04;4,97;14;8,59;2,59;78,21
735,06;20,02;14;7,19;8,59;78,48
735,02;2,08;14;6,79;8,59;77,93
735;8,1;14;7,38;7,58;77,66
734,98;7,98;14;8,38;6,58;77,39
734,96;8,1;14;8,38;5,58;77,12
734,97;17,01;14;7,77;13,57;77,26
734,96;10,99;14;7,97;8,57;77,12
734,96;14;14;8,17;4,57;77,12
734,94;8,1;14;7,16;7,56;76,85
734,91;5,09;14;7,64;6,56;76,44
734,88;5,09;14;8,15;8,55;76,04
734,88;14;14;7,85;10,95;76,04
734,87;11,11;14;8,26;7,14;75,9
734,85;8,1;14;7,6;6,04;75,63
734,84;10,99;14;6,61;8,63;75,5
734,82;8,1;14;6,41;5,23;75,23
734,8;8,1;14;6,42;6,02;74,96
734,78;8,1;14;6,49;6,11;74,69
734,76;8,1;14;7,25;6,11;74,42
734,75;10,99;14;6,98;9;74,28
734,74;11,11;14;6,76;9;74,15
734,72;8,1;14;6,41;4,69;73,88
734,7;8,1;14;6,71;4,99;73,61
734,68;8,1;14;5,61;4,38;73,34
734,68;14;14;5,36;10,48;73,34
734,66;8,1;14;5,66;3,48;73,07
734,66;14;14;5,67;3,47;73,07
734,64;8,1;14;4,87;6,47;73,07
734,62;8,1;14;4,86;4,46;72,26
734,6;8,1;14;5,06;6,46;72,26
734,58;8,21;14;5,28;3,46;72
734,55;5,2;14;5,17;4,45;71,6
734,54;11,11;14;4,89;7,55;71,46
734,52;8,1;14;5,19;3,95;71,19
734,5;8,1;14;4,75;5,05;70,93
734,48;8,21;14;4,4;4,94;70,66
734,46;8,1;14;4,04;2,24;70,39
734,47;16,89;14;3,96;5,84;71,33
734,43;2,31;14;3,76;2,14;69,72
734,39;2,31;14;4,38;4,64;69,45
734,37;8,21;14;4,23;3,93;69,19
734,35;8,1;14;4,95;5,33;68,92
734,33;8,21;14;4,39;5,13;68,66
734,31;8,21;14;4,69;5,73;68,39
734,28;5,2;14;4,73;1,83;67,99
734,26;8,21;14;3,99;5,43;67,73
734,25;11,11;14;3,93;5,53;67,73
734,22;5,2;14;4,65;1,43;67,06
734,19;4,32;13;4,05;5,43;66,8
734,16;4,32;13;4,03;5,43;66,4
734,14;8,21;14;4,43;2,43;66,14
734,12;8,21;14;3,83;5,43;65,87
734,09;5,32;14;4,83;3,43;65,48
734,06;5,32;14;5,23;2,43;65,08
734,06;14;14;6,83;10,43;65,08
734,04;8,21;14;7,03;4,43;64,81
734,05;16,89;14;10,44;13,44;64,95
734,03;8,21;14;12,84;4,44;64,68
734,06;22,68;14;15,24;19,44;65,08
734,1;25,57;14;15,84;22,44;65,61
734,12;19,79;14;18,04;16,44;65,87
734,14;19,79;14;16,24;16,44;66,14
734,16;19,79;14;13,85;15,45;66,4
734,16;14;14;12,45;10,45;66,4
734,16;14;14;11,25;10,45;66,4
734,16;14;14;9,65;9,45;66,4
734,16;14;14;9,25;10,45;66,4
734,15;11,11;14;8,65;7,45;66,4
734,12;5,32;14;7,45;8,45;65,87
734,1;8,21;14;6,45;7,45;65,61
734,07;5,32;14;6,05;3,45;65,21
734,05;8,21;14;6,65;5,45;64,95
734,03;8,21;14;5,45;5,45;64,68
734,03;14;14;5,65;11,45;64,68
733,99;2,54;14;5,65;1,45;64,16
733,98;11,22;14;5,65;4,45;64,03
733,96;8,56;14;3,76;5,44;63,78
733,95;11,22;14;4,02;5,44;63,66
733,91;2,89;14;4,14;2,04;63,15
733,89;8,56;14;4,06;2,74;62,9
733,87;8,44;14;3,46;5,04;62,65
733,85;8,44;14;3,74;5,04;62,39
733,82;5,78;14;3,87;2,43;62,02
733,8;8,44;14;3,55;3,43;62,02
733,76;3,12;14;4,43;3,43;61,64
733,73;5,9;14;4,23;3,43;60,9
733,72;11,22;14;4,82;9,42;60,77
733,72;11;11;6,02;1,42;60,77
733,69;5,9;14;6,02;6,42;60,15
733,66;5,9;14;4,82;9,42;60,03
733,62;3,12;14;5,61;3,41;59,53
733,6;8,56;14;5,21;3,41;59,28
733,58;8,68;14;4,61;5,41;59,04
733,54;3,35;14;4,6;4,4;58,55
733,53;11,34;14;5,4;6,4;58,43
733,5;5,01;13;6;3,4;58,07
733,48;8,68;14;6,79;7,39;57,82
733,47;11,34;14;6,19;8,39;57,7
733,46;11,34;14;7,19;8,39;57,58
733,43;6,01;14;6,38;3,38;57,22
733,42;11,34;14;5,38;8,38;57,09
733,37;0,81;14;5,18;3,38;56,49
733,36;11,34;14;5,17;3,37;56,37
733,35;11,45;14;4,97;7,37;56,25
733,32;6,13;14;5,36;3,36;55,9
733,31;11,34;14;5,16;7,36;55,78
733,29;8,79;14;4,16;5,36;55,54
733,24;0,92;14;4,75;2,35;54,94
733,23;11,34;14;3,95;2,35;54,82
733,21;8,79;14;5,94;6,34;54,58
733,18;6,25;14;6,34;3,34;54,23
733,2;19,09;14;8,14;15,34;54,46
733,18;8,91;14;11,33;4,33;54,23
733,18;14;14;11,33;11,33;54,23
733,22;24,42;14;9,92;22,32;54,7
733,19;6,13;14;14,92;3,32;54,34
733,18;11,45;14;16,12;8,31;54,23
