ota (m);Afluencia (m3/s);Defluencia (m3/s);Vazao Natural (m3/s);Volume Util (%);Data da Medicao
733.94;10;13;6;60.06;27/05/2002
733.93;10;13;6;59.94;28/05/2002
733.93;14;14;8;59.94;29/05/2002
733.92;11;14;6;59.81;30/05/2002
733.91;10;13;6;59.68;31/05/2002
733.9;10;13;6;59.56;01/06/2002
733.89;11;14;5;59.43;02/06/2002
733.88;11;14;7;59.3;03/06/2002
733.87;11;14;7;59.18;04/06/2002
733.86;11;14;6;59.05;05/06/2002
733.84;8;14;4;58.8;06/06/2002
733.82;9;14;4;58.55;07/06/2002
733.8;8;14;5;58.3;08/06/2002
733.79;10;13;8;58.17;09/06/2002
733.77;8;13;5;57.92;10/06/2002
733.74;5;13;1;57.55;11/06/2002
733.73;11;14;7;57.43;12/06/2002
733.7;6;14;4;57.05;13/06/2002
733.68;9;14;6;56.81;14/06/2002
733.65;6;14;2;56.44;15/06/2002
733.64;10;13;5;56.31;16/06/2002
733.64;13;13;11;56.31;17/06/2002
733.61;5;13;3;55.95;18/06/2002
733.59;9;14;3;55.7;19/06/2002
733.57;8;13;3;55.46;20/06/2002
733.55;8;13;3;55.21;21/06/2002
733.54;11;14;5;55.09;22/06/2002
733.53;11;14;5;54.97;23/06/2002
733.52;10;13;6;54.85;24/06/2002
733.52;13;13;6;54.85;25/06/2002
733.52;13;13;9;54.85;26/06/2002
733.51;10;13;4;54.73;27/06/2002
733.5;11;14;5;54.61;28/06/2002
733.49;11;14;6;54.49;29/06/2002
733.48;10;13;7;54.37;30/06/2002
733.46;8;13;4;54.13;01/07/2002
733.43;5;13;1;53.77;02/07/2002
733.42;10;13;6;53.65;03/07/2002
733.41;11;14;6;53.53;04/07/2002
733.39;9;14;4;53.29;05/07/2002
733.37;9;14;4;53.05;06/07/2002
733.35;9;14;3;52.81;07/07/2002
733.34;11;14;6;52.69;08/07/2002
733.32;9;14;3;52.45;09/07/2002
733.3;9;14;4;52.22;10/07/2002
733.29;10;13;6;52.1;11/07/2002
733.34;27;14;22;52.69;12/07/2002
733.36;18;13;13;52.93;13/07/2002
733.37;16;13;11;53.05;14/07/2002
733.36;11;14;5;52.93;15/07/2002
733.35;11;14;6;52.81;16/07/2002
733.35;14;14;8;52.81;17/07/2002
733.33;8;14;3;52.57;18/07/2002
733.32;11;14;6;52.45;19/07/2002
733.31;11;14;6;52.34;20/07/2002
733.3;11;14;5;52.22;21/07/2002
733.28;8;13;3;51.98;22/07/2002
733.28;13;13;9;51.98;23/07/2002
733.26;8;13;3;51.75;24/07/2002
733.25;11;14;6;51.63;25/07/2002
733.23;8;14;4;51.39;26/07/2002
733.21;8;14;4;51.16;27/07/2002
733.19;8;13;3;50.93;28/07/2002
733.17;8;13;4;50.69;29/07/2002
733.15;8;13;4;50.46;30/07/2002
733.13;8;13;5;50.23;31/07/2002
733.13;13;13;9;50.23;01/08/2002
733.13;13;13;8;50.23;02/08/2002
733.15;19;13;15;50.46;03/08/2002
733.15;13;13;11;50.46;04/08/2002
733.14;11;13;8;50.34;05/08/2002
733.13;11;13;8;50.23;06/08/2002
733.12;11;13;7;50.11;07/08/2002
733.1;8;13;6;49.88;08/08/2002
733.08;8;13;5;49.65;09/08/2002
733.06;8;13;6;49.42;10/08/2002
733.04;8;13;7;49.19;11/08/2002
733.01;6;13;2;48.18;12/08/2002
732.98;6;13;2;47.87;13/08/2002
732.96;8;13;5;47.65;14/08/2002
732.93;6;13;3;47.34;15/08/2002
732.9;6;13;2;47.6;16/08/2002
732.88;8;13;5;47.38;17/08/2002
732.86;8;13;3;47.16;18/08/2002
732.84;8;13;4;46.93;19/08/2002
732.81;6;13;2;46.59;20/08/2002
732.79;8;13;5;46.37;21/08/2002
732.77;8;13;4;46.15;22/08/2002
732.74;6;13;2;45.81;23/08/2002
732.72;8;14;7;45.59;24/08/2002
732.69;6;14;3;45.26;25/08/2002
732.66;6;14;3;44.93;26/08/2002
732.63;6;14;2;44.6;27/08/2002
732.6;6;14;3;44.28;28/08/2002
732.56;3;14;1;43.84;29/08/2002
732.54;8;13;5;43.62;30/08/2002
732.53;11;13;10;43.52;31/08/2002
